,User,Text,Date,Favorites,Retweets,Mentions,Hashtags
45,p_mate,Koronawirus zaraził się Grodzkim i umarł.,2020-01-30 22:19:36+00:00,1,4,,
46,AlfaOmegaB1,I pluje gwoździami...Wybór miedzy dżumą i cholerą...😎I tak wygra koronawirus...🙄,2020-01-30 22:19:00+00:00,0,0,,
47,rrobertn,Tak tylko tu wstawię mapka rozprzestrzeniania się #coronarvirus https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6 #Polska #Poland #koronawirus,2020-01-30 22:18:24+00:00,0,1,,#coronarvirus #Polska #Poland #koronawirus
48,discodzurnal,wracam ze szpitala. koronawirus. zostalam zainfekowana.,2020-01-30 22:13:46+00:00,0,11,,
49,artsfinite,Koronawirus Wuhan To Broń Biologiczna a Epidemię Przepowiedziano - Ploci... https://youtu.be/tu8isHyIdzM via @YouTube,2020-01-30 22:12:59+00:00,0,0,@YouTube,
50,kszyhool,"Koronavirus szaleje, nie podróżowała Pani ostatnio ?",2020-01-30 22:12:56+00:00,0,1,,
51,JoannaTeglund,"Polskie media są zajęte prowadzeniem wojny polsko-polskiej, więc należy je omijać. Polecam wątek, gdzie jest kilka linków do rzeczowych informacji. Sytuacja rozwojowa. Na razie niewiele wiadomo. #koronawirus 🦠 #coronavirus",2020-01-30 22:12:06+00:00,0,0,,#koronawirus #coronavirus
52,CzerwonePotwork,Koronawirus: - Chiny - USA - Francja - Japonia - Korea Południowa - Tajwan - Singapur - Tajlandia - Australia - Nepal - Wietnam - Hongkong - Makau - Malezja - Kanada - Kambodża - Sri Lanka - Niemcy - ZEA - Indie - Filipiny - Finlandia Piąty przypadek potwierdzony w Niemczech‼️,2020-01-30 22:04:43+00:00,2,3,,
53,NSW216,Koronawirus to Czarnobyl epoki globalizacji. https://youtu.be/5qcjfe2H52U via @YouTube,2020-01-30 22:03:28+00:00,0,0,@YouTube,
54,astonhedge,Tomasz #Grodzki uratuje świat przed #koronawirus.em W końcu wypuścił go ze swojego laboratorium,2020-01-30 22:01:33+00:00,0,2,,#Grodzki #koronawirus
55,ewa_handtke,"📢UWAGA! Czerwona i zielona zaraza zaczyna typowe komusze oduraczanie opinii publicznej. To juz kolejny art. nt #WirusZLodowca i tak przypadkowo, akurat w trakcie naglasniania pradziwych zródel pochodzenia #Koronavirus ",2020-01-30 22:00:58+00:00,2,7,,#WirusZLodowca #Koronavirus
